cntry,nuts1,nuts2,nuts3
DE,DE8,DE80,DE804
DE,DE8,DE80,DE805
DE,DE8,DE80,DE806
DE,DE8,DE80,DE807
DE,DE8,DE80,DE808
DE,DE8,DE80,DE809
DE,DE8,DE80,DE80A
DE,DE8,DE80,DE80B
DE,DE8,DE80,DE80C
DE,DE8,DE80,DE80D
DE,DE8,DE80,DE80E
DE,DE8,DE80,DE80F
DE,DE8,DE80,DE80G
DE,DE8,DE80,DE80H
DE,DE8,DE80,DE80I
DE,DE9,DE91,DE911
DE,DE9,DE91,DE912
DE,DE9,DE91,DE913
DE,DE9,DE91,DE914
DE,DE9,DE91,DE915
DE,DE9,DE91,DE916
DE,DE9,DE91,DE917
DE,DE9,DE91,DE918
DE,DE9,DE91,DE919
DE,DE9,DE91,DE91A
DE,DE9,DE91,DE91B
DE,DE9,DE92,DE922
DE,DE9,DE92,DE923
DE,DE9,DE92,DE925
DE,DE9,DE92,DE926
DE,DE9,DE92,DE927
DE,DE9,DE92,DE928
DE,DE9,DE92,DE929
DE,DE9,DE93,DE931
DE,DE9,DE93,DE932
DE,DE9,DE93,DE933
DE,DE9,DE93,DE934
DE,DE9,DE93,DE935
DE,DE9,DE93,DE936
DE,DE9,DE93,DE937
DE,DE9,DE93,DE938
DE,DE9,DE93,DE939
DE,DE9,DE93,DE93A
DE,DE9,DE93,DE93B
DE,DE9,DE94,DE941
DE,DE9,DE94,DE942
DE,DE9,DE94,DE943
DE,DE9,DE94,DE944
DE,DE9,DE94,DE945
DE,DE9,DE94,DE946
DE,DE9,DE94,DE947
DE,DE9,DE94,DE948
DE,DE9,DE94,DE949
DE,DE9,DE94,DE94A
DE,DE9,DE94,DE94B
DE,DE9,DE94,DE94C
DE,DE9,DE94,DE94D
DE,DE9,DE94,DE94E
DE,DE9,DE94,DE94F
DE,DE9,DE94,DE94G
DE,DE9,DE94,DE94H
DE,DEA,DEA1,DEA11
DE,DEA,DEA1,DEA12
DE,DEA,DEA1,DEA13
DE,DEA,DEA1,DEA14
DE,DEA,DEA1,DEA15
DE,DEA,DEA1,DEA16
DE,DEA,DEA1,DEA17
DE,DEA,DEA1,DEA18
DE,DEA,DEA1,DEA19
DE,DEA,DEA1,DEA1A
DE,DEA,DEA1,DEA1B
DE,DEA,DEA1,DEA1C
DE,DEA,DEA1,DEA1D
DE,DEA,DEA1,DEA1E
DE,DEA,DEA1,DEA1F
DE,DEA,DEA2,DEA22
DE,DEA,DEA2,DEA23
DE,DEA,DEA2,DEA24
DE,DEA,DEA2,DEA26
DE,DEA,DEA2,DEA27
DE,DEA,DEA2,DEA28
DE,DEA,DEA2,DEA29
DE,DEA,DEA2,DEA2A
DE,DEA,DEA2,DEA2B
DE,DEA,DEA2,DEA2C
DE,DEA,DEA2,DEA2D
DE,DEA,DEA3,DEA31
DE,DEA,DEA3,DEA32
DE,DEA,DEA3,DEA33
DE,DEA,DEA3,DEA34
DE,DEA,DEA3,DEA35
DE,DEA,DEA3,DEA36
DE,DEA,DEA3,DEA37
DE,DEA,DEA3,DEA38
DE,DEA,DEA4,DEA41
DE,DEA,DEA4,DEA42
DE,DEA,DEA4,DEA43
DE,DEA,DEA4,DEA44
DE,DEA,DEA4,DEA45
DE,DEA,DEA4,DEA46
DE,DEA,DEA4,DEA47
DE,DEA,DEA5,DEA51
DE,DEA,DEA5,DEA52
DE,DEA,DEA5,DEA53
DE,DEA,DEA5,DEA54
DE,DEA,DEA5,DEA55
DE,DEA,DEA5,DEA56
DE,DEA,DEA5,DEA57
DE,DEA,DEA5,DEA58
DE,DEA,DEA5,DEA59
DE,DEA,DEA5,DEA5A
DE,DEA,DEA5,DEA5B
DE,DEA,DEA5,DEA5C
DE,DEB,DEB1,DEB11
DE,DEB,DEB1,DEB12
DE,DEB,DEB1,DEB13
DE,DEB,DEB1,DEB14
DE,DEB,DEB1,DEB15
DE,DEB,DEB1,DEB16
DE,DEB,DEB1,DEB17
DE,DEB,DEB1,DEB18
DE,DEB,DEB1,DEB19
DE,DEB,DEB1,DEB1A
DE,DEB,DEB1,DEB1B
DE,DEB,DEB2,DEB21
DE,DEB,DEB2,DEB22
DE,DEB,DEB2,DEB23
DE,DEB,DEB2,DEB24
DE,DEB,DEB2,DEB25
DE,DEB,DEB3,DEB31
DE,DEB,DEB3,DEB32
DE,DEB,DEB3,DEB33
DE,DEB,DEB3,DEB34
DE,DEB,DEB3,DEB35
DE,DEB,DEB3,DEB36
DE,DEB,DEB3,DEB37
DE,DEB,DEB3,DEB38
DE,DEB,DEB3,DEB39
DE,DEB,DEB3,DEB3A
DE,DEB,DEB3,DEB3B
DE,DEB,DEB3,DEB3C
DE,DEB,DEB3,DEB3D
DE,DEB,DEB3,DEB3E
DE,DEB,DEB3,DEB3F
DE,DEB,DEB3,DEB3G
DE,DEB,DEB3,DEB3H
DE,DEB,DEB3,DEB3I
DE,DEB,DEB3,DEB3J
DE,DEB,DEB3,DEB3K
DE,DEC,DEC0,DEC01
DE,DEC,DEC0,DEC02
DE,DEC,DEC0,DEC03
DE,DEC,DEC0,DEC04
DE,DEC,DEC0,DEC05
DE,DEC,DEC0,DEC06
DE,DED,DED2,DED21
DE,DED,DED2,DED2C
DE,DED,DED2,DED2D
DE,DED,DED2,DED2E
DE,DED,DED2,DED2F
DE,DED,DED4,DED41
DE,DED,DED4,DED42
DE,DED,DED4,DED43
DE,DED,DED4,DED44
DE,DED,DED4,DED45
DE,DED,DED5,DED51
DE,DED,DED5,DED52
DE,DED,DED5,DED53
DE,DEE,DEE0,DEE01
DE,DEE,DEE0,DEE02
DE,DEE,DEE0,DEE03
DE,DEE,DEE0,DEE04
DE,DEE,DEE0,DEE05
DE,DEE,DEE0,DEE06
DE,DEE,DEE0,DEE07
DE,DEE,DEE0,DEE08
DE,DEE,DEE0,DEE09
DE,DEE,DEE0,DEE0A
DE,DEE,DEE0,DEE0B
DE,DEE,DEE0,DEE0C
DE,DEE,DEE0,DEE0D
DE,DEE,DEE0,DEE0E
DE,DEF,DEF0,DEF01
DE,DEF,DEF0,DEF02
DE,DEF,DEF0,DEF03
DE,DEF,DEF0,DEF04
DE,DEF,DEF0,DEF05
DE,DEF,DEF0,DEF06
DE,DEF,DEF0,DEF07
DE,DEF,DEF0,DEF08
DE,DEF,DEF0,DEF09
DE,DEF,DEF0,DEF0A
DE,DEF,DEF0,DEF0B
DE,DEF,DEF0,DEF0C
DE,DEF,DEF0,DEF0D
DE,DEF,DEF0,DEF0E
DE,DEF,DEF0,DEF0F
DE,DEG,DEG0,DEG01
DE,DEG,DEG0,DEG02
DE,DEG,DEG0,DEG03
DE,DEG,DEG0,DEG04
DE,DEG,DEG0,DEG05
DE,DEG,DEG0,DEG06
DE,DEG,DEG0,DEG07
DE,DEG,DEG0,DEG09
DE,DEG,DEG0,DEG0A
DE,DEG,DEG0,DEG0B
DE,DEG,DEG0,DEG0C
DE,DEG,DEG0,DEG0D
DE,DEG,DEG0,DEG0E
DE,DEG,DEG0,DEG0F
DE,DEG,DEG0,DEG0G
DE,DEG,DEG0,DEG0H
DE,DEG,DEG0,DEG0I
DE,DEG,DEG0,DEG0J
DE,DEG,DEG0,DEG0K
DE,DEG,DEG0,DEG0L
DE,DEG,DEG0,DEG0M
DE,DEG,DEG0,DEG0N
DE,DEG,DEG0,DEG0P
DK,DK0,DK01,DK011
DK,DK0,DK01,DK012
DK,DK0,DK01,DK013
DK,DK0,DK01,DK014
DK,DK0,DK02,DK021
DK,DK0,DK02,DK022
DK,DK0,DK03,DK031
DK,DK0,DK03,DK032
DK,DK0,DK04,DK041
DK,DK0,DK04,DK042
DK,DK0,DK05,DK050
EE,EE0,EE00,EE001
EE,EE0,EE00,EE004
EE,EE0,EE00,EE006
EE,EE0,EE00,EE007
EE,EE0,EE00,EE008
ES,ES1,ES11,ES111
ES,ES1,ES11,ES112
ES,ES1,ES11,ES113
ES,ES1,ES11,ES114
ES,ES1,ES12,ES120
ES,ES1,ES13,ES130
ES,ES2,ES21,ES211
ES,ES2,ES21,ES212
ES,ES2,ES21,ES213
ES,ES2,ES22,ES220
ES,ES2,ES23,ES230
ES,ES2,ES24,ES241
ES,ES2,ES24,ES242
ES,ES2,ES24,ES243
ES,ES3,ES30,ES300
ES,ES4,ES41,ES411
ES,ES4,ES41,ES412
ES,ES4,ES41,ES413
ES,ES4,ES41,ES414
ES,ES4,ES41,ES415
ES,ES4,ES41,ES416
ES,ES4,ES41,ES417
ES,ES4,ES41,ES418
ES,ES4,ES41,ES419
ES,ES4,ES42,ES421
ES,ES4,ES42,ES422
ES,ES4,ES42,ES423
ES,ES4,ES42,ES424
ES,ES4,ES42,ES425
ES,ES4,ES43,ES431
ES,ES4,ES43,ES432
ES,ES5,ES51,ES511
ES,ES5,ES51,ES512
ES,ES5,ES51,ES513
ES,ES5,ES51,ES514
ES,ES5,ES52,ES521
ES,ES5,ES52,ES522
ES,ES5,ES52,ES523
ES,ES5,ES53,ES531
ES,ES5,ES53,ES532
ES,ES5,ES53,ES533
ES,ES6,ES61,ES611
ES,ES6,ES61,ES612
ES,ES6,ES61,ES613
ES,ES6,ES61,ES614
ES,ES6,ES61,ES615
ES,ES6,ES61,ES616
ES,ES6,ES61,ES617
ES,ES6,ES61,ES618
ES,ES6,ES62,ES620
ES,ES6,ES63,ES630
ES,ES6,ES64,ES640
ES,ES7,ES70,ES703
ES,ES7,ES70,ES704
ES,ES7,ES70,ES705
ES,ES7,ES70,ES706
ES,ES7,ES70,ES707
ES,ES7,ES70,ES708
ES,ES7,ES70,ES709
FI,FI1,FI19,FI193
FI,FI1,FI19,FI194
FI,FI1,FI19,FI195
FI,FI1,FI19,FI196
FI,FI1,FI19,FI197
FI,FI1,FI1B,FI1B1
FI,FI1,FI1C,FI1C1
FI,FI1,FI1C,FI1C2
FI,FI1,FI1C,FI1C3
FI,FI1,FI1C,FI1C4
FI,FI1,FI1C,FI1C5
FI,FI1,FI1D,FI1D1
FI,FI1,FI1D,FI1D2
FI,FI1,FI1D,FI1D3
FI,FI1,FI1D,FI1D4
FI,FI1,FI1D,FI1D5
FI,FI1,FI1D,FI1D6
FI,FI1,FI1D,FI1D7
FI,FI2,FI20,FI200
FR,FR1,FR10,FR101
FR,FR1,FR10,FR102
FR,FR1,FR10,FR103
FR,FR1,FR10,FR104
FR,FR1,FR10,FR105
FR,FR1,FR10,FR106
FR,FR1,FR10,FR107
FR,FR1,FR10,FR108
FR,FR2,FR21,FR211
FR,FR2,FR21,FR212
FR,FR2,FR21,FR213
FR,FR2,FR21,FR214
FR,FR2,FR22,FR221
FR,FR2,FR22,FR222
FR,FR2,FR22,FR223
FR,FR2,FR23,FR231
FR,FR2,FR23,FR232
FR,FR2,FR24,FR241
FR,FR2,FR24,FR242
FR,FR2,FR24,FR243
FR,FR2,FR24,FR244
FR,FR2,FR24,FR245
FR,FR2,FR24,FR246
FR,FR2,FR25,FR251
FR,FR2,FR25,FR252
FR,FR2,FR25,FR253
FR,FR2,FR26,FR261
FR,FR2,FR26,FR262
FR,FR2,FR26,FR263
FR,FR2,FR26,FR264
FR,FR3,FR30,FR301
FR,FR3,FR30,FR302
FR,FR4,FR41,FR411
FR,FR4,FR41,FR412
FR,FR4,FR41,FR413
FR,FR4,FR41,FR414
FR,FR4,FR42,FR421
FR,FR4,FR42,FR422
FR,FR4,FR43,FR431
FR,FR4,FR43,FR432
FR,FR4,FR43,FR433
FR,FR4,FR43,FR434
FR,FR5,FR51,FR511
FR,FR5,FR51,FR512
FR,FR5,FR51,FR513
FR,FR5,FR51,FR514
FR,FR5,FR51,FR515
FR,FR5,FR52,FR521
FR,FR5,FR52,FR522
FR,FR5,FR52,FR523
FR,FR5,FR52,FR524
FR,FR5,FR53,FR531
FR,FR5,FR53,FR532
FR,FR5,FR53,FR533
FR,FR5,FR53,FR534
FR,FR6,FR61,FR611
FR,FR6,FR61,FR612
FR,FR6,FR61,FR613
FR,FR6,FR61,FR614
FR,FR6,FR61,FR615
FR,FR6,FR62,FR621
FR,FR6,FR62,FR622
FR,FR6,FR62,FR623
FR,FR6,FR62,FR624
FR,FR6,FR62,FR625
FR,FR6,FR62,FR626
FR,FR6,FR62,FR627
FR,FR6,FR62,FR628
FR,FR6,FR63,FR631
FR,FR6,FR63,FR632
FR,FR6,FR63,FR633
FR,FR7,FR71,FR711
FR,FR7,FR71,FR712
FR,FR7,FR71,FR713
FR,FR7,FR71,FR714
FR,FR7,FR71,FR715
FR,FR7,FR71,FR716
FR,FR7,FR71,FR717
FR,FR7,FR71,FR718
FR,FR7,FR72,FR721
FR,FR7,FR72,FR722
FR,FR7,FR72,FR723
FR,FR7,FR72,FR724
FR,FR8,FR81,FR811
FR,FR8,FR81,FR812
FR,FR8,FR81,FR813
FR,FR8,FR81,FR814
FR,FR8,FR81,FR815
FR,FR8,FR82,FR821
FR,FR8,FR82,FR822
FR,FR8,FR82,FR823
FR,FR8,FR82,FR824
FR,FR8,FR82,FR825
FR,FR8,FR82,FR826
FR,FR8,FR83,FR831
FR,FR8,FR83,FR832
FR,FR9,FR91,FR910
FR,FR9,FR92,FR920
FR,FR9,FR93,FR930
FR,FR9,FR94,FR940
GB,UKC,UKC1,UKC11
GB,UKC,UKC1,UKC12
GB,UKC,UKC1,UKC13
GB,UKC,UKC1,UKC14
GB,UKC,UKC2,UKC21
GB,UKC,UKC2,UKC22
GB,UKC,UKC2,UKC23
GB,UKD,UKD1,UKD11
GB,UKD,UKD1,UKD12
GB,UKD,UKD3,UKD31
GB,UKD,UKD3,UKD32
GB,UKD,UKD4,UKD41
GB,UKD,UKD4,UKD42
GB,UKD,UKD4,UKD43
GB,UKD,UKD6,UKD61
GB,UKD,UKD6,UKD62
GB,UKD,UKD6,UKD63
GB,UKD,UKD7,UKD71
GB,UKD,UKD7,UKD72
GB,UKD,UKD7,UKD73
GB,UKD,UKD7,UKD74
GB,UKE,UKE1,UKE11
GB,UKE,UKE1,UKE12
GB,UKE,UKE1,UKE13
GB,UKE,UKE2,UKE21
GB,UKE,UKE2,UKE22
GB,UKE,UKE3,UKE31
GB,UKE,UKE3,UKE32
GB,UKE,UKE4,UKE41
GB,UKE,UKE4,UKE42
GB,UKE,UKE4,UKE44
GB,UKE,UKE4,UKE45
GB,UKF,UKF1,UKF11
GB,UKF,UKF1,UKF12
GB,UKF,UKF1,UKF13
GB,UKF,UKF1,UKF14
GB,UKF,UKF1,UKF15
GB,UKF,UKF1,UKF16
GB,UKF,UKF2,UKF21
GB,UKF,UKF2,UKF22
GB,UKF,UKF2,UKF24
GB,UKF,UKF2,UKF25
GB,UKF,UKF3,UKF30
GB,UKG,UKG1,UKG11
GB,UKG,UKG1,UKG12
GB,UKG,UKG1,UKG13
GB,UKG,UKG2,UKG21
GB,UKG,UKG2,UKG22
GB,UKG,UKG2,UKG23
GB,UKG,UKG2,UKG24
GB,UKG,UKG3,UKG31
GB,UKG,UKG3,UKG32
GB,UKG,UKG3,UKG33
GB,UKG,UKG3,UKG36
GB,UKG,UKG3,UKG37
GB,UKG,UKG3,UKG38
GB,UKG,UKG3,UKG39
GB,UKH,UKH1,UKH11
GB,UKH,UKH1,UKH12
GB,UKH,UKH1,UKH13
GB,UKH,UKH1,UKH14
GB,UKH,UKH2,UKH21
GB,UKH,UKH2,UKH23
GB,UKH,UKH2,UKH24
GB,UKH,UKH2,UKH25
GB,UKH,UKH3,UKH31
GB,UKH,UKH3,UKH32
GB,UKH,UKH3,UKH33
GB,UKI,UKI1,UKI11
GB,UKI,UKI1,UKI12
GB,UKI,UKI2,UKI21
GB,UKI,UKI2,UKI22
GB,UKI,UKI2,UKI23
GB,UKJ,UKJ1,UKJ11
GB,UKJ,UKJ1,UKJ12
GB,UKJ,UKJ1,UKJ13
GB,UKJ,UKJ1,UKJ14
GB,UKJ,UKJ2,UKJ21
GB,UKJ,UKJ2,UKJ22
GB,UKJ,UKJ2,UKJ23
GB,UKJ,UKJ2,UKJ24
GB,UKJ,UKJ3,UKJ31
GB,UKJ,UKJ3,UKJ32
GB,UKJ,UKJ3,UKJ33
GB,UKJ,UKJ3,UKJ34
GB,UKJ,UKJ4,UKJ41
GB,UKJ,UKJ4,UKJ42
GB,UKK,UKK1,UKK11
GB,UKK,UKK1,UKK12
GB,UKK,UKK1,UKK13
GB,UKK,UKK1,UKK14
GB,UKK,UKK1,UKK15
GB,UKK,UKK2,UKK21
GB,UKK,UKK2,UKK22
GB,UKK,UKK2,UKK23
GB,UKK,UKK3,UKK30
GB,UKK,UKK4,UKK41
GB,UKK,UKK4,UKK42
GB,UKK,UKK4,UKK43
GB,UKL,UKL1,UKL11
GB,UKL,UKL1,UKL12
GB,UKL,UKL1,UKL13
GB,UKL,UKL1,UKL14
GB,UKL,UKL1,UKL15
GB,UKL,UKL1,UKL16
GB,UKL,UKL1,UKL17
GB,UKL,UKL1,UKL18
GB,UKL,UKL2,UKL21
GB,UKL,UKL2,UKL22
GB,UKL,UKL2,UKL23
GB,UKL,UKL2,UKL24
GB,UKM,UKM2,UKM21
GB,UKM,UKM2,UKM22
GB,UKM,UKM2,UKM23
GB,UKM,UKM2,UKM24
GB,UKM,UKM2,UKM25
GB,UKM,UKM2,UKM26
GB,UKM,UKM2,UKM27
GB,UKM,UKM2,UKM28
GB,UKM,UKM3,UKM31
GB,UKM,UKM3,UKM32
GB,UKM,UKM3,UKM33
GB,UKM,UKM3,UKM34
GB,UKM,UKM3,UKM35
GB,UKM,UKM3,UKM36
GB,UKM,UKM3,UKM37
GB,UKM,UKM3,UKM38
GB,UKM,UKM5,UKM50
GB,UKM,UKM6,UKM61
GB,UKM,UKM6,UKM62
GB,UKM,UKM6,UKM63
GB,UKM,UKM6,UKM64
GB,UKM,UKM6,UKM65
GB,UKM,UKM6,UKM66
GB,UKN,UKN0,UKN01
GB,UKN,UKN0,UKN02
GB,UKN,UKN0,UKN03
GB,UKN,UKN0,UKN04
GB,UKN,UKN0,UKN05
HU,HU1,HU10,HU101
HU,HU1,HU10,HU102
HU,HU2,HU21,HU211
HU,HU2,HU21,HU212
HU,HU2,HU21,HU213
HU,HU2,HU22,HU221
HU,HU2,HU22,HU222
HU,HU2,HU22,HU223
HU,HU2,HU23,HU231
HU,HU2,HU23,HU232
HU,HU2,HU23,HU233
